Type,Clue %,Total Instances,Successes,Success Rate (%),Avg Time,Std Dev Time,Cycles
6x6,0,100,100,100.00,0.00012358,0.00003988,1.00
6x6,5,100,100,100.00,0.00010652,0.00002769,1.00
6x6,10,100,100,100.00,0.00009492,0.00001418,1.00
6x6,15,100,100,100.00,0.00008726,0.00001502,1.00
6x6,20,100,100,100.00,0.00007341,0.00001430,1.00
6x6,25,100,100,100.00,0.00005563,0.00000929,1.00
6x6,30,100,100,100.00,0.00004856,0.00001556,1.00
6x6,35,100,100,100.00,0.00002699,0.00001898,1.00
6x6,40,100,100,100.00,0.00001552,0.00000958,1.00
6x6,45,100,100,100.00,0.00000848,0.00000586,1.00
6x6,50,100,100,100.00,0.00000592,0.00000321,1.00
6x6,55,100,100,100.00,0.00000548,0.00000287,1.00
6x6,60,100,100,100.00,0.00000493,0.00000306,1.00
6x6,65,100,100,100.00,0.00000432,0.00000116,1.00
6x6,70,100,100,100.00,0.00000429,0.00000098,1.00
6x6,75,100,100,100.00,0.00000537,0.00001043,1.00
6x6,80,100,100,100.00,0.00000501,0.00000819,1.00
6x6,85,100,100,100.00,0.00000412,0.00000081,1.00
6x6,90,100,100,100.00,0.00000456,0.00000254,1.00
6x6,95,100,100,100.00,0.00000407,0.00000104,1.00
9x9,0,100,100,100.00,0.00042490,0.00010981,1.01
9x9,5,100,100,100.00,0.00044775,0.00024010,1.00
9x9,10,100,100,100.00,0.00034177,0.00002490,1.00
9x9,15,100,100,100.00,0.00031280,0.00003564,1.01
9x9,20,100,100,100.00,0.00027499,0.00001952,1.00
9x9,25,100,100,100.00,0.00023523,0.00001991,1.00
9x9,30,100,100,100.00,0.00018292,0.00003067,1.01
9x9,35,100,100,100.00,0.00012313,0.00004184,1.01
9x9,40,100,100,100.00,0.00005459,0.00003207,1.00
9x9,45,100,100,100.00,0.00003066,0.00003861,1.00
9x9,50,100,100,100.00,0.00001650,0.00001030,1.00
9x9,55,100,100,100.00,0.00001134,0.00000601,1.00
9x9,60,100,100,100.00,0.00000950,0.00000430,1.00
9x9,65,100,100,100.00,0.00000865,0.00000185,1.00
9x9,70,100,100,100.00,0.00000823,0.00000132,1.00
9x9,75,100,100,100.00,0.00000811,0.00000143,1.00
9x9,80,100,100,100.00,0.00000805,0.00000124,1.00
9x9,85,100,100,100.00,0.00000868,0.00000360,1.00
9x9,90,100,100,100.00,0.00000878,0.00000479,1.00
9x9,95,100,100,100.00,0.00000835,0.00000201,1.00
