Type,Clue %,Total Instances,Successes,Success Rate (%),Avg Time,Std Dev Time,Cycles
6x6,0,100,100,100.00,0.00015943,0.00002783,1.00
6x6,5,100,100,100.00,0.00014606,0.00000856,1.00
6x6,10,100,100,100.00,0.00014857,0.00005036,1.00
6x6,15,100,100,100.00,0.00012543,0.00001633,1.00
6x6,20,100,100,100.00,0.00010469,0.00001386,1.00
6x6,25,100,100,100.00,0.00008227,0.00001346,1.00
6x6,30,100,100,100.00,0.00006679,0.00001711,1.00
6x6,35,100,100,100.00,0.00003635,0.00001766,1.00
6x6,40,100,100,100.00,0.00002320,0.00001522,1.00
6x6,45,100,100,100.00,0.00001303,0.00001189,1.00
6x6,50,100,100,100.00,0.00000899,0.00000506,1.00
6x6,55,100,100,100.00,0.00000863,0.00000667,1.00
6x6,60,100,100,100.00,0.00000719,0.00000293,1.00
6x6,65,100,100,100.00,0.00000638,0.00000149,1.00
6x6,70,100,100,100.00,0.00000656,0.00000218,1.00
6x6,75,100,100,100.00,0.00000610,0.00000140,1.00
6x6,80,100,100,100.00,0.00000659,0.00000661,1.00
6x6,85,100,100,100.00,0.00000584,0.00000077,1.00
6x6,90,100,100,100.00,0.00000625,0.00000190,1.00
6x6,95,100,100,100.00,0.00000597,0.00000085,1.00
9x9,0,100,100,100.00,0.00059608,0.00008632,1.00
9x9,5,100,100,100.00,0.00054278,0.00006969,1.01
9x9,10,100,100,100.00,0.00048441,0.00002674,1.00
9x9,15,100,100,100.00,0.00044400,0.00003612,1.00
9x9,20,100,100,100.00,0.00041352,0.00008501,1.00
9x9,25,100,100,100.00,0.00034114,0.00004699,1.01
9x9,30,100,100,100.00,0.00027124,0.00006061,1.02
9x9,35,100,100,100.00,0.00017512,0.00006189,1.00
9x9,40,100,100,100.00,0.00008233,0.00005241,1.00
9x9,45,100,100,100.00,0.00003817,0.00002764,1.00
9x9,50,100,100,100.00,0.00002447,0.00001503,1.00
9x9,55,100,100,100.00,0.00001691,0.00000924,1.00
9x9,60,100,100,100.00,0.00001394,0.00000499,1.00
9x9,65,100,100,100.00,0.00001332,0.00000342,1.00
9x9,70,100,100,100.00,0.00001374,0.00001105,1.00
9x9,75,100,100,100.00,0.00001234,0.00000261,1.00
9x9,80,100,100,100.00,0.00001323,0.00000730,1.00
9x9,85,100,100,100.00,0.00001177,0.00000143,1.00
9x9,90,100,100,100.00,0.00001278,0.00000771,1.00
9x9,95,100,100,100.00,0.00001381,0.00001247,1.00
12x12,0,100,100,100.00,0.00166118,0.00038622,1.07
12x12,5,100,100,100.00,0.00161139,0.00043847,1.12
12x12,10,100,100,100.00,0.00157671,0.00049954,1.19
12x12,15,100,100,100.00,0.00138320,0.00040786,1.07
12x12,20,100,100,100.00,0.00135299,0.00043953,1.22
12x12,25,100,100,100.00,0.00116104,0.00033603,1.18
12x12,30,100,100,100.00,0.00117342,0.00053913,1.30
12x12,35,100,100,100.00,0.00092660,0.00031483,1.28
12x12,40,100,100,100.00,0.00068523,0.00025396,1.16
12x12,45,100,100,100.00,0.00043098,0.00019017,1.08
12x12,50,100,100,100.00,0.00020832,0.00013352,1.00
12x12,55,100,100,100.00,0.00008083,0.00006724,1.01
