Type,Clue %,Total Instances,Successes,Success Rate (%),Avg Time,Std Dev Time,Cycles
6x6,0,100,100,100.00,0.000000000000000,0.0000000000000000.000000000000000
6x6,5,100,100,100.00,0.000000000000000,0.0000000000000000.000000000000000
6x6,10,100,100,100.00,0.000000000000000,0.0000000000000000.000000000000000
6x6,15,100,100,100.00,0.000000000000000,0.0000000000000000.000000000000000
6x6,20,100,100,100.00,0.000000000000000,0.0000000000000000.000000000000000
6x6,25,100,100,100.00,0.000000000000000,0.0000000000000000.000000000000000
6x6,30,100,100,100.00,0.000000000000000,0.0000000000000000.000000000000000
6x6,35,100,100,100.00,0.000000000000000,0.0000000000000000.000000000000000
6x6,40,100,100,100.00,0.000000000000000,0.0000000000000000.000000000000000
6x6,45,100,100,100.00,0.000000000000000,0.0000000000000000.000000000000000
6x6,50,100,100,100.00,0.000000000000000,0.0000000000000000.000000000000000
6x6,55,100,100,100.00,0.000000000000000,0.0000000000000000.000000000000000
6x6,60,100,100,100.00,0.000000000000000,0.0000000000000000.000000000000000
6x6,65,100,100,100.00,0.000000000000000,0.0000000000000000.000000000000000
6x6,70,100,100,100.00,0.000000000000000,0.0000000000000000.000000000000000
6x6,75,100,100,100.00,0.000000000000000,0.0000000000000000.000000000000000
6x6,80,100,100,100.00,0.000000000000000,0.0000000000000000.000000000000000
6x6,85,100,100,100.00,0.000000000000000,0.0000000000000000.000000000000000
6x6,90,100,100,100.00,0.000000000000000,0.0000000000000000.000000000000000
6x6,95,100,100,100.00,0.000000000000000,0.0000000000000000.000000000000000
9x9,0,100,100,100.00,0.000583640000000,0.0000425454053351.000000000000000
9x9,5,100,100,100.00,0.000529900000000,0.0000219017549231.000000000000000
9x9,10,100,100,100.00,0.000521240000000,0.0001005706063851.000000000000000
9x9,15,100,100,100.00,0.000450020000000,0.0000306623778291.000000000000000
9x9,20,100,100,100.00,0.000395320000000,0.0000277935680371.000000000000000
9x9,25,100,100,100.00,0.000340540000000,0.0000329365536401.000000000000000
9x9,30,100,100,100.00,0.000260980000000,0.0000355706666121.000000000000000
9x9,35,100,100,100.00,0.000189460000000,0.0000871607617211.000000000000000
9x9,40,100,100,100.00,0.000078990000000,0.0000447729389321.000000000000000
9x9,45,100,100,100.00,0.000038650000000,0.0000273999096811.000000000000000
9x9,50,100,100,100.00,0.000024750000000,0.0000150079945031.000000000000000
9x9,55,100,100,100.00,0.000017510000000,0.0000107143772001.000000000000000
9x9,60,100,100,100.00,0.000013820000000,0.0000047955787721.000000000000000
9x9,65,100,100,100.00,0.000013280000000,0.0000070468561661.000000000000000
9x9,70,100,100,100.00,0.000011960000000,0.0000025659778691.000000000000000
9x9,75,100,100,100.00,0.000011670000000,0.0000020203760031.000000000000000
9x9,80,100,100,100.00,0.000012000000000,0.0000022019275301.000000000000000
9x9,85,100,100,100.00,0.000012050000000,0.0000022309802171.000000000000000
9x9,90,100,100,100.00,0.000012470000000,0.0000032735703181.000000000000000
9x9,95,100,100,100.00,0.000012490000000,0.0000042675543581.000000000000000
12x12,0,100,100,100.00,0.000000000000000,0.0000000000000000.000000000000000
12x12,5,100,100,100.00,0.000000000000000,0.0000000000000000.000000000000000
12x12,10,100,100,100.00,0.000000000000000,0.0000000000000000.000000000000000
12x12,15,100,100,100.00,0.000000000000000,0.0000000000000000.000000000000000
12x12,20,100,100,100.00,0.000000000000000,0.0000000000000000.000000000000000
12x12,25,100,100,100.00,0.000000000000000,0.0000000000000000.000000000000000
12x12,30,100,100,100.00,0.000000000000000,0.0000000000000000.000000000000000
12x12,35,100,100,100.00,0.000000000000000,0.0000000000000000.000000000000000
12x12,40,100,100,100.00,0.000000000000000,0.0000000000000000.000000000000000
12x12,45,100,100,100.00,0.000000000000000,0.0000000000000000.000000000000000
12x12,50,100,100,100.00,0.000000000000000,0.0000000000000000.000000000000000
12x12,55,100,100,100.00,0.000000000000000,0.0000000000000000.000000000000000
12x12,60,100,100,100.00,0.000000000000000,0.0000000000000000.000000000000000
12x12,65,100,100,100.00,0.000000000000000,0.0000000000000000.000000000000000
12x12,70,100,100,100.00,0.000000000000000,0.0000000000000000.000000000000000
12x12,75,100,100,100.00,0.000000000000000,0.0000000000000000.000000000000000
12x12,80,100,100,100.00,0.000000000000000,0.0000000000000000.000000000000000
12x12,85,100,100,100.00,0.000000000000000,0.0000000000000000.000000000000000
12x12,90,100,100,100.00,0.000000000000000,0.0000000000000000.000000000000000
12x12,95,100,100,100.00,0.000000000000000,0.0000000000000000.000000000000000
16x16,0,100,100,100.00,0.008881940000000,0.0044178082797201.770000000000000
16x16,5,100,100,100.00,0.007529410000000,0.0035299819929581.760000000000000
16x16,10,100,100,100.00,0.006125270000000,0.0019656775265761.750000000000000
16x16,15,100,100,100.00,0.006036940000000,0.0021833276790121.890000000000000
16x16,20,100,100,100.00,0.005371250000000,0.0017498480648331.930000000000000
16x16,25,100,100,100.00,0.005347000000000,0.0026475770054902.120000000000000
16x16,30,100,100,100.00,0.005238740000000,0.0039937125626072.510000000000000
16x16,35,100,100,100.00,0.004523120000000,0.0024866516177952.600000000000000
16x16,40,100,100,100.00,0.003492110000000,0.0029697633953132.840000000000000
16x16,45,100,100,100.00,0.001124250000000,0.0011817119440401.610000000000000
16x16,50,100,100,100.00,0.000159520000000,0.0001398322573731.000000000000000
16x16,55,100,100,100.00,0.000054150000000,0.0000466877387491.000000000000000
16x16,60,100,100,100.00,0.000040510000000,0.0000177049299761.000000000000000
16x16,65,100,100,100.00,0.000034740000000,0.0000094319679921.000000000000000
