Type,Clue %,Total Instances,Successes,Success Rate (%),Avg Time,Std Dev Time,Cycles
6x6,0,100,100,100.00,0.00010942,0.00001853,1.00
6x6,5,100,100,100.00,0.00010604,0.00001811,1.00
6x6,10,100,100,100.00,0.00009439,0.00000659,1.00
6x6,15,100,100,100.00,0.00009176,0.00003120,1.00
6x6,20,100,100,100.00,0.00007216,0.00000696,1.00
6x6,25,100,100,100.00,0.00006058,0.00001935,1.00
6x6,30,100,100,100.00,0.00004842,0.00001470,1.00
6x6,35,100,100,100.00,0.00002536,0.00001233,1.00
6x6,40,100,100,100.00,0.00001691,0.00001417,1.00
6x6,45,100,100,100.00,0.00000851,0.00000598,1.00
6x6,50,100,100,100.00,0.00000581,0.00000309,1.00
6x6,55,100,100,100.00,0.00000565,0.00000363,1.00
6x6,60,100,100,100.00,0.00000482,0.00000222,1.00
6x6,65,100,100,100.00,0.00000419,0.00000101,1.00
6x6,70,100,100,100.00,0.00000424,0.00000102,1.00
6x6,75,100,100,100.00,0.00000419,0.00000111,1.00
6x6,80,100,100,100.00,0.00000428,0.00000179,1.00
6x6,85,100,100,100.00,0.00000423,0.00000100,1.00
6x6,90,100,100,100.00,0.00000408,0.00000060,1.00
6x6,95,100,100,100.00,0.00000426,0.00000279,1.00
9x9,0,100,100,100.00,0.00040786,0.00003533,1.00
9x9,5,100,100,100.00,0.00037496,0.00004574,1.01
9x9,10,100,100,100.00,0.00034160,0.00003693,1.01
9x9,15,100,100,100.00,0.00033976,0.00015843,1.01
9x9,20,100,100,100.00,0.00028143,0.00004294,1.03
9x9,25,100,100,100.00,0.00023508,0.00002285,1.00
9x9,30,100,100,100.00,0.00018250,0.00003130,1.00
9x9,35,100,100,100.00,0.00012143,0.00003641,1.00
9x9,40,100,100,100.00,0.00006350,0.00007950,1.00
9x9,45,100,100,100.00,0.00002915,0.00002162,1.00
9x9,50,100,100,100.00,0.00001929,0.00001863,1.00
9x9,55,100,100,100.00,0.00001165,0.00000632,1.00
9x9,60,100,100,100.00,0.00000921,0.00000347,1.00
9x9,65,100,100,100.00,0.00000870,0.00000229,1.00
9x9,70,100,100,100.00,0.00000875,0.00000368,1.00
9x9,75,100,100,100.00,0.00000843,0.00000219,1.00
9x9,80,100,100,100.00,0.00000852,0.00000378,1.00
9x9,85,100,100,100.00,0.00000808,0.00000105,1.00
9x9,90,100,100,100.00,0.00000898,0.00000572,1.00
9x9,95,100,100,100.00,0.00000862,0.00000354,1.00
12x12,0,100,100,100.00,0.00119748,0.00033230,1.12
12x12,5,100,100,100.00,0.00112725,0.00031618,1.12
12x12,10,100,100,100.00,0.00099702,0.00023610,1.08
12x12,15,100,100,100.00,0.00100552,0.00036837,1.12
12x12,20,100,100,100.00,0.00095209,0.00031163,1.23
12x12,25,100,100,100.00,0.00082912,0.00031034,1.21
12x12,30,100,100,100.00,0.00072641,0.00023546,1.21
12x12,35,100,100,100.00,0.00060306,0.00018517,1.20
12x12,40,100,100,100.00,0.00045379,0.00014997,1.12
12x12,45,100,100,100.00,0.00035802,0.00030982,1.22
12x12,50,100,100,100.00,0.00013355,0.00007931,1.00
12x12,55,100,100,100.00,0.00005538,0.00004429,1.00
12x12,60,100,100,100.00,0.00002787,0.00002000,1.00
12x12,65,100,100,100.00,0.00001997,0.00001064,1.00
12x12,70,100,100,100.00,0.00001688,0.00000794,1.00
12x12,75,100,100,100.00,0.00001401,0.00000295,1.00
12x12,80,100,100,100.00,0.00001556,0.00000898,1.00
12x12,85,100,100,100.00,0.00001347,0.00000460,1.00
12x12,90,100,100,100.00,0.00001301,0.00000315,1.00
12x12,95,100,100,100.00,0.00001320,0.00000257,1.00
16x16,0,100,100,100.00,0.00489574,0.00147328,1.66
16x16,5,100,100,100.00,0.00478423,0.00212504,1.73
16x16,10,100,100,100.00,0.00455946,0.00166160,1.88
16x16,15,100,100,100.00,0.00440238,0.00199379,1.96
16x16,20,100,100,100.00,0.00383217,0.00183677,2.00
16x16,25,100,100,100.00,0.00373918,0.00139076,2.22
16x16,30,100,100,100.00,0.00344958,0.00145771,2.35
16x16,35,100,100,100.00,0.00328995,0.00243438,2.84
16x16,40,100,100,100.00,0.00250978,0.00215557,2.94
16x16,45,100,100,100.00,0.00088352,0.00137499,1.78
16x16,50,100,100,100.00,0.00011274,0.00010707,1.02
16x16,55,100,100,100.00,0.00003673,0.00002984,1.00
16x16,60,100,100,100.00,0.00002630,0.00001072,1.00
16x16,65,100,100,100.00,0.00002297,0.00000573,1.00
16x16,70,100,100,100.00,0.00002071,0.00000370,1.00
16x16,75,100,100,100.00,0.00002222,0.00001216,1.00
16x16,80,100,100,100.00,0.00001984,0.00000297,1.00
16x16,85,100,100,100.00,0.00001944,0.00000311,1.00
16x16,90,100,100,100.00,0.00001909,0.00000147,1.00
16x16,95,100,100,100.00,0.00001944,0.00000392,1.00
25x25,0,100,100,100.00,0.10640126,0.15721829,7.11
25x25,5,100,100,100.00,0.15906926,0.22176679,11.70
25x25,10,100,100,100.00,0.20643724,0.26443124,16.77
25x25,15,100,100,100.00,0.18728402,0.21862874,16.99
25x25,20,100,100,100.00,0.31122430,0.39477851,31.69
25x25,25,100,100,100.00,0.48908003,0.47152091,57.24
25x25,30,100,100,100.00,0.55058853,0.49035380,74.80
25x25,35,100,100,100.00,1.07136472,0.77276264,171.76
25x25,40,100,100,100.00,1.46500082,1.64872735,287.22
25x25,45,100,95,95.00,4.70524995,13.04976350,1178.60
25x25,50,100,100,100.00,1.98686792,8.50261154,720.66
25x25,55,100,100,100.00,0.00017434,0.00040859,1.02
25x25,60,100,100,100.00,0.00007494,0.00002696,1.00
25x25,65,100,100,100.00,0.00006276,0.00001755,1.00
25x25,70,100,100,100.00,0.00005599,0.00000850,1.00
25x25,75,100,100,100.00,0.00005235,0.00000660,1.00
25x25,80,100,100,100.00,0.00005238,0.00000584,1.00
25x25,85,100,100,100.00,0.00005320,0.00000959,1.00
25x25,90,100,100,100.00,0.00005176,0.00000499,1.00
25x25,95,100,100,100.00,0.00005063,0.00000326,1.00
