Dimension,Success Rate (%),Avg Time (s),Std Dev Time (s),Cycles
6x6,100.0,3.396499999999999e-05,8.308999999999998e-06,1.0
9x9,100.0,0.00012387500000000002,2.8086000000000002e-05,1.0
12x12,100.0,0.000428633,0.0001469885,1.08
16x16,100.0,0.0018332735000000002,0.0009042290000000001,1.57
25x25,99.75,0.56195982,1.3096527595,129.18
