Dimension,Success Rate (%),Avg Time (s),Std Dev Time (s),Cycles
6x6,100.0,3.31695e-05,6.725999999999999e-06,1.0
9x9,100.0,0.0001223625,2.3411499999999998e-05,1.0
12x12,100.0,0.00042297349999999994,0.00013858599999999998,1.08
16x16,100.0,0.0019191135000000002,0.0021031139999999992,1.77
25x25,99.7,0.49835674750000003,1.18629202,117.25
