Dimension,Success Rate (%),Avg Time (s),Std Dev Time (s),Cycles
6x6,100.0,3.3668000000000004e-05,6.7135e-06,1.0
9x9,100.0,0.00012265449999999996,2.1421e-05,1.0
12x12,100.0,0.0004204415,0.00015591099999999998,1.08
16x16,100.0,0.0017747994999999998,0.0007786574999999999,1.54
25x25,99.75,0.4192902255,0.6967340795000002,91.58
