Type,Clue %,Total Instances,Successes,Success Rate (%),Avg Time,Std Dev Time,Cycles
6x6,0,100,100,100.00,0.00016273,0.00003557,1.00
6x6,5,100,100,100.00,0.00015747,0.00003644,1.00
6x6,10,100,100,100.00,0.00013616,0.00001271,1.00
6x6,15,100,100,100.00,0.00012307,0.00001272,1.00
6x6,20,100,100,100.00,0.00010298,0.00000904,1.00
6x6,25,100,100,100.00,0.00008255,0.00001605,1.00
6x6,30,100,100,100.00,0.00006795,0.00001873,1.00
6x6,35,100,100,100.00,0.00003890,0.00002238,1.00
6x6,40,100,100,100.00,0.00002326,0.00001608,1.00
6x6,45,100,100,100.00,0.00001220,0.00000823,1.00
6x6,50,100,100,100.00,0.00000878,0.00000488,1.00
6x6,55,100,100,100.00,0.00000794,0.00000409,1.00
6x6,60,100,100,100.00,0.00000798,0.00000613,1.00
6x6,65,100,100,100.00,0.00000645,0.00000168,1.00
6x6,70,100,100,100.00,0.00000647,0.00000222,1.00
6x6,75,100,100,100.00,0.00000640,0.00000141,1.00
6x6,80,100,100,100.00,0.00000617,0.00000298,1.00
6x6,85,100,100,100.00,0.00000592,0.00000091,1.00
6x6,90,100,100,100.00,0.00000589,0.00000086,1.00
6x6,95,100,100,100.00,0.00000618,0.00000154,1.00
9x9,0,100,100,100.00,0.00063531,0.00022232,1.00
9x9,5,100,100,100.00,0.00057477,0.00023822,1.00
9x9,10,100,100,100.00,0.00048306,0.00002725,1.00
9x9,15,100,100,100.00,0.00044892,0.00005252,1.02
9x9,20,100,100,100.00,0.00038872,0.00002142,1.00
9x9,25,100,100,100.00,0.00033110,0.00002353,1.00
9x9,30,100,100,100.00,0.00027744,0.00010492,1.01
9x9,35,100,100,100.00,0.00017182,0.00005144,1.00
9x9,40,100,100,100.00,0.00007899,0.00004511,1.00
9x9,45,100,100,100.00,0.00003785,0.00002693,1.00
9x9,50,100,100,100.00,0.00002404,0.00001412,1.00
9x9,55,100,100,100.00,0.00001689,0.00000889,1.00
9x9,60,100,100,100.00,0.00001535,0.00001357,1.00
9x9,65,100,100,100.00,0.00001291,0.00000302,1.00
9x9,70,100,100,100.00,0.00001248,0.00000236,1.00
9x9,75,100,100,100.00,0.00001221,0.00000199,1.00
9x9,80,100,100,100.00,0.00001210,0.00000381,1.00
9x9,85,100,100,100.00,0.00001175,0.00000180,1.00
9x9,90,100,100,100.00,0.00001207,0.00000188,1.00
9x9,95,100,100,100.00,0.00001223,0.00000360,1.00
12x12,0,100,100,100.00,0.00167614,0.00041872,1.09
12x12,5,100,100,100.00,0.00150123,0.00028706,1.05
12x12,10,100,100,100.00,0.00142972,0.00033518,1.08
12x12,15,100,100,100.00,0.00140000,0.00042821,1.12
12x12,20,100,100,100.00,0.00133813,0.00049083,1.22
12x12,25,100,100,100.00,0.00115215,0.00034166,1.18
12x12,30,100,100,100.00,0.00115711,0.00070933,1.29
12x12,35,100,100,100.00,0.00090884,0.00045490,1.22
12x12,40,100,100,100.00,0.00063707,0.00016707,1.10
12x12,45,100,100,100.00,0.00042116,0.00018342,1.08
12x12,50,100,100,100.00,0.00019613,0.00013451,1.03
12x12,55,100,100,100.00,0.00007878,0.00006558,1.00
12x12,60,100,100,100.00,0.00004075,0.00003168,1.00
12x12,65,100,100,100.00,0.00002964,0.00001695,1.00
12x12,70,100,100,100.00,0.00002383,0.00001050,1.00
12x12,75,100,100,100.00,0.00002047,0.00000391,1.00
12x12,80,100,100,100.00,0.00002064,0.00000466,1.00
12x12,85,100,100,100.00,0.00002013,0.00000817,1.00
12x12,90,100,100,100.00,0.00001827,0.00000167,1.00
12x12,95,100,100,100.00,0.00001891,0.00000267,1.00
16x16,0,100,100,100.00,0.00679826,0.00209293,1.62
16x16,5,100,100,100.00,0.00690169,0.00261230,1.75
16x16,10,100,100,100.00,0.00657369,0.00289185,1.75
16x16,15,100,100,100.00,0.00634064,0.00265998,1.80
16x16,20,100,100,100.00,0.00625176,0.00299362,1.99
16x16,25,100,100,100.00,0.00565659,0.00257341,2.27
16x16,30,100,100,100.00,0.00499564,0.00220043,2.41
16x16,35,100,100,100.00,0.00461070,0.00310673,2.66
16x16,40,100,100,100.00,0.00384359,0.00249016,3.12
16x16,45,100,100,100.00,0.00105649,0.00133082,1.49
16x16,50,100,100,100.00,0.00017900,0.00020163,1.01
16x16,55,100,100,100.00,0.00005475,0.00004575,1.00
16x16,60,100,100,100.00,0.00003848,0.00001544,1.00
16x16,65,100,100,100.00,0.00003332,0.00000865,1.00
16x16,70,100,100,100.00,0.00003193,0.00001217,1.00
16x16,75,100,100,100.00,0.00002915,0.00000463,1.00
16x16,80,100,100,100.00,0.00002824,0.00000268,1.00
16x16,85,100,100,100.00,0.00002826,0.00000262,1.00
16x16,90,100,100,100.00,0.00002860,0.00000451,1.00
16x16,95,100,100,100.00,0.00003268,0.00002226,1.00
25x25,0,100,100,100.00,0.18169570,0.23915619,8.37
25x25,5,100,100,100.00,0.19153062,0.28282860,9.60
25x25,10,100,100,100.00,0.25548774,0.29907623,14.35
25x25,15,100,100,100.00,0.34757900,0.45569794,21.78
25x25,20,100,100,100.00,0.52875948,0.65631989,37.02
25x25,25,100,100,100.00,0.71921799,0.83878007,57.27
25x25,30,100,100,100.00,1.12232253,1.39807561,102.41
25x25,35,100,100,100.00,1.86479500,1.66209677,199.32
25x25,40,100,100,100.00,3.02716540,3.37204049,391.48
25x25,45,100,98,98.00,6.06513933,14.98951711,1000.13
25x25,50,100,99,99.00,1.88285987,8.72043192,429.63
25x25,55,100,100,100.00,0.00026753,0.00073216,1.03
25x25,60,100,100,100.00,0.00011113,0.00004311,1.00
25x25,65,100,100,100.00,0.00009281,0.00002638,1.00
25x25,70,100,100,100.00,0.00008515,0.00002131,1.00
25x25,75,100,100,100.00,0.00007781,0.00001099,1.00
