Type,Clue %,Total Instances,Successes,Success Rate (%),Avg Time,Std Dev Time,Cycles
6x6,0,100,100,100.00,0.00010685,0.00000809,1.00
6x6,5,100,100,100.00,0.00010376,0.00001016,1.00
6x6,10,100,100,100.00,0.00009441,0.00000692,1.00
6x6,15,100,100,100.00,0.00008539,0.00001027,1.00
6x6,20,100,100,100.00,0.00007926,0.00002663,1.00
6x6,25,100,100,100.00,0.00005741,0.00001040,1.00
6x6,30,100,100,100.00,0.00004912,0.00001722,1.00
6x6,35,100,100,100.00,0.00002590,0.00001262,1.00
6x6,40,100,100,100.00,0.00001685,0.00001038,1.00
6x6,45,100,100,100.00,0.00000850,0.00000591,1.00
6x6,50,100,100,100.00,0.00000594,0.00000297,1.00
6x6,55,100,100,100.00,0.00000549,0.00000326,1.00
6x6,60,100,100,100.00,0.00000482,0.00000225,1.00
6x6,65,100,100,100.00,0.00000435,0.00000138,1.00
6x6,70,100,100,100.00,0.00000444,0.00000116,1.00
6x6,75,100,100,100.00,0.00000422,0.00000103,1.00
6x6,80,100,100,100.00,0.00000405,0.00000078,1.00
6x6,85,100,100,100.00,0.00000415,0.00000091,1.00
6x6,90,100,100,100.00,0.00000435,0.00000115,1.00
6x6,95,100,100,100.00,0.00000410,0.00000078,1.00
9x9,0,100,100,100.00,0.00040774,0.00003508,1.00
9x9,5,100,100,100.00,0.00037092,0.00002994,1.00
9x9,10,100,100,100.00,0.00034018,0.00002215,1.00
9x9,15,100,100,100.00,0.00030778,0.00001954,1.00
9x9,20,100,100,100.00,0.00028074,0.00003471,1.00
9x9,25,100,100,100.00,0.00025340,0.00011790,1.00
9x9,30,100,100,100.00,0.00018180,0.00002479,1.00
9x9,35,100,100,100.00,0.00012364,0.00004176,1.02
9x9,40,100,100,100.00,0.00005582,0.00003254,1.00
9x9,45,100,100,100.00,0.00003354,0.00003605,1.03
9x9,50,100,100,100.00,0.00001772,0.00001145,1.00
9x9,55,100,100,100.00,0.00001168,0.00000614,1.00
9x9,60,100,100,100.00,0.00000935,0.00000334,1.00
9x9,65,100,100,100.00,0.00000852,0.00000188,1.00
9x9,70,100,100,100.00,0.00000822,0.00000146,1.00
9x9,75,100,100,100.00,0.00000854,0.00000162,1.00
9x9,80,100,100,100.00,0.00000835,0.00000160,1.00
9x9,85,100,100,100.00,0.00000865,0.00000342,1.00
9x9,90,100,100,100.00,0.00000838,0.00000189,1.00
9x9,95,100,100,100.00,0.00000812,0.00000116,1.00
12x12,0,100,100,100.00,0.00116859,0.00033036,1.11
12x12,5,100,100,100.00,0.00114324,0.00064114,1.09
12x12,10,100,100,100.00,0.00099894,0.00026380,1.10
12x12,15,100,100,100.00,0.00095166,0.00027685,1.14
12x12,20,100,100,100.00,0.00087080,0.00026032,1.16
12x12,25,100,100,100.00,0.00077471,0.00024839,1.16
12x12,30,100,100,100.00,0.00083561,0.00040397,1.32
12x12,35,100,100,100.00,0.00058290,0.00021143,1.18
12x12,40,100,100,100.00,0.00046263,0.00016771,1.16
12x12,45,100,100,100.00,0.00029132,0.00011819,1.08
12x12,50,100,100,100.00,0.00013793,0.00008999,1.05
12x12,55,100,100,100.00,0.00005535,0.00004540,1.00
12x12,60,100,100,100.00,0.00002780,0.00001973,1.00
12x12,65,100,100,100.00,0.00002128,0.00001370,1.00
12x12,70,100,100,100.00,0.00001735,0.00000859,1.00
12x12,75,100,100,100.00,0.00001398,0.00000253,1.00
12x12,80,100,100,100.00,0.00001498,0.00000549,1.00
12x12,85,100,100,100.00,0.00001286,0.00000198,1.00
12x12,90,100,100,100.00,0.00001288,0.00000140,1.00
12x12,95,100,100,100.00,0.00001402,0.00000725,1.00
16x16,0,100,100,100.00,0.00474311,0.00153088,1.65
16x16,5,100,100,100.00,0.00452168,0.00128623,1.72
16x16,10,100,100,100.00,0.00410946,0.00152384,1.67
16x16,15,100,100,100.00,0.00425305,0.00104439,2.00
16x16,20,100,100,100.00,0.00373948,0.00113942,1.98
16x16,25,100,100,100.00,0.00369000,0.00131570,2.12
16x16,30,100,100,100.00,0.00359507,0.00231424,2.52
16x16,35,100,100,100.00,0.00297658,0.00167393,2.58
16x16,40,100,100,100.00,0.00280842,0.00277899,3.08
16x16,45,100,100,100.00,0.00074276,0.00077587,1.50
16x16,50,100,100,100.00,0.00011083,0.00011053,1.01
16x16,55,100,100,100.00,0.00003657,0.00003535,1.00
16x16,60,100,100,100.00,0.00002632,0.00001105,1.00
